gene	Top	p.value	FDR	logFC.Astocyte	logFC.Immune.cell	logFC.Neoplastic	logFC.Oligodendrocyte	logFC.OPC	logFC.Vascular
ENSG00000105854	6	6.961241881639843e-46	2.1836880302559424e-44	-9.228003858810196	-1.320904560481639	-7.651233140979028	-5.255436929421829	-5.6043182151592505	-5.107286026886348
ENSG00000167641	6	1.0041096271272171e-40	2.8379518233637203e-39	0	-0.04050853908442937	-0.17682047055125696	-7.900583028907278	-1.5587698289925505	-2.9408856605662397
ENSG00000185201	6	1.9419825250902318e-25	3.8984411505784496e-24	-2.76237107353204	-4.224915504178585	-1.5479912174161026	-0.04237313027251205	-0.3331384528693989	-6.612695350733063
ENSG00000136541	7	2.0628898056421793e-37	5.422398931110653e-36	-0.02985558658807776	-0.12681318098465513	-0.13499330263490875	-9.33340216710899	-0.02217037471995008	-0.08322598027312667
ENSG00000136854	7	6.709679641442394e-29	1.484763682516397e-27	6.619109880954712	8.044113271094677	6.905090836208425	7.314329327129913	5.692680497515034	7.549835060245541
ENSG00000159189	7	0	0	-0.008847195008805169	-7.625076646153259	-0.024010918370342714	-0.11999834163300686	-0.02279414990338183	0
ENSG00000205927	7	2.1294128770691227e-146	2.140359858761118e-144	-0.5481948694417875	-0.009981733988910862	-1.2415115243027939	-2.669942575362054	-5.776846701225587	0
ENSG00000102760	8	1.0395009397115728e-274	2.5580684331902592e-272	-6.657785689460136	-4.360174907285157	-2.14642934411243	-7.9215717928588605	-6.272452550817798	-4.375450010863596
ENSG00000152518	8	0	0	-1.8827318120536607	-4.703728792636759	-5.047383703964084	-1.5971099421147066	-2.924342132816304	-2.9292927567846827
ENSG00000154277	8	1.339316647378305e-24	2.6222313454088626e-23	8.112809435098654	8.340846131787552	5.280672946532794	5.608225223929605	4.389792465150205	8.11675470619912
ENSG00000164199	8	1.1154039301347123e-45	3.4912632225466743e-44	-5.897748676283527	-1.2509528510605255	-0.3341861586484556	-0.35807311827655086	-0.31851045815443824	0.43815174930225886
ENSG00000172005	8	1.4236927436618437e-34	3.503511470738865e-33	-5.111093390784468	-0.00472891485148379	-0.033351757204097644	-8.852618253806524	-1.3565915956989647	0
ENSG00000182578	8	0	0	-0.014387465445648404	-7.340173964952559	-0.07456005671030481	-0.14384058824861792	-0.09723144291774868	-0.08863605954344604
ENSG00000018625	9	1.7385596292708728e-44	5.336443352383478e-43	-10.446828179571071	-0.4507266285122517	-1.961204371116889	-0.3093472486080199	-5.962002720100889	-4.173060053380981
ENSG00000051523	9	0	0	-0.10255739985191634	-6.337480832974804	-0.13619254915868398	-0.11500351847704081	-0.20272613130113526	-4.414967080611296
ENSG00000111674	9	1.40420966872224e-23	2.697481103859021e-22	5.5694593901069505	7.7657652999051745	3.9166698058281164	6.5125900160528705	6.17428762326864	7.986854258807975
ENSG00000147588	9	8.269745583495523e-228	1.3567135484279755e-225	-3.8071073514674647	-0.19477753096852884	-5.659845319622844	-1.5163242522779083	-4.673184704276891	-0.03107695850326163
ENSG00000173546	9	3.1343299291096364e-135	2.8136032124643356e-133	-0.015467095239134391	-0.10623868239850467	-0.9175175909918803	0	-6.49326679444536	-2.101483895050342
ENSG00000189058	9	3.8005948745226253e-34	9.272801819497667e-33	0.2894466795893853	0.14824825452131402	-0.08327544657850228	-10.033154678205575	-10.41688366204021	-5.54687649339991
ENSG00000102265	10	3.3942688902392104e-224	5.265913029389553e-222	-1.6567974395083644	-2.9540657466623754	-5.438618608303557	-0.3481136470598841	-3.3842350259288154	-8.569972234759875
ENSG00000111348	10	0	0	-0.060886497859993914	-7.335903558074814	-0.07164058880838983	-0.013888386846889051	-0.0036771973314880606	-5.548298013433772
ENSG00000150656	10	1.006474509300336e-31	2.332047186890196e-30	-0.3720739257365371	-0.8995655272482109	-0.06382171430969619	-7.909067946869109	-0.4064755215318079	-0.0016909547427845784
ENSG00000164089	10	5.344760160203191e-43	1.5926046297824664e-41	-9.54434968590924	-0.40376411881757557	-0.10655400901997192	0.23234208809076273	-0.21409169872381162	-0.20855391168971282
ENSG00000164111	10	1.417284684788723e-23	2.7189387508050255e-22	-4.438915537369941	-7.054891775054473	-7.235563818592307	-4.659068070710783	-5.291923933504391	-6.998496497814328
ENSG00000165424	10	9.077634311191704e-112	6.644362796084036e-110	-0.9629576602629489	-0.3151244525103058	-1.085902976750034	-3.370815013246425	-5.402431216670908	-1.511180145747941
ENSG00000091513	11	4.7512091424032676e-30	1.0713113442262544e-28	-0.2994471646241843	0.19633208514064826	0.7735346963881984	-7.157024108014995	-0.030259057541001333	1.4863719206585042
ENSG00000125398	11	2.845058366054941e-223	4.3663997912582486e-221	-4.886455455664336	-0.04821168930638049	-4.606536024466493	-0.859350162666455	-0.36346834189004645	-0.32145182187790117
ENSG00000127920	11	5.702610861432591e-64	2.42242157217936e-62	-0.6103396504959921	-0.012004069445306475	-1.7541166174664857	0	-0.005767019824910568	-7.138347940447229
ENSG00000180353	11	0	0	-0.07412186276545857	-6.66660469036714	-0.0814396813343393	-0.11730729392177762	-0.05445012040866168	-0.3685214039708599
ENSG00000072163	12	1.5364832265574307e-107	1.0697670776904411e-105	0	-0.006675390338640261	-0.09903872616812781	-0.11615860338562047	-5.310088019842598	-0.5983704398437242
ENSG00000127824	12	4.857337298086342e-25	9.615641505629154e-24	4.303233775686391	7.349901300861778	6.339776425445227	7.249757330182732	7.42587726285149	7.370038195526843
ENSG00000132965	12	0	0	0	-7.065200653502119	-0.040018246683433054	0	-0.03919877675993553	-0.02540139705645602
ENSG00000188643	12	6.70489481090764e-213	9.666561983442757e-211	-4.705343576848992	-0.0488100976649972	-5.393620369979384	-0.7499106847399271	-4.680094755607845	-3.271499362699029
ENSG00000101198	13	3.866426206938983e-105	2.5667675000762686e-103	-2.884606228945896	-0.007744628973601681	-0.24588844597736795	0	-5.530888921706762	0
ENSG00000117525	13	2.929777818948706e-38	7.830846219073908e-37	-7.572044527686712	-0.3040464968621708	-4.606687104142991	-0.09803048835396676	-1.6932627921851278	-4.345276599084862
ENSG00000130294	13	6.190978320110474e-22	1.1299722962012364e-20	3.187010945949591	6.320512401697451	5.728570107353651	3.080552676797657	4.47209927680275	6.776878980751563
ENSG00000160255	13	0	0	0	-6.61400904741636	-0.03720696171742574	-0.130276593550243	-0.022289032728509083	-0.16126838037301064
ENSG00000143119	14	0	0	-0.029691352545238713	-6.562719263399843	-0.02427908383871303	-0.0705545178868175	-0.009544225862479022	-0.017670308819618723
ENSG00000144230	14	1.45108393314382e-99	9.123929946150663e-98	0.04307947335735489	0.036963555809756486	0.017175390482779645	-0.12008408762403898	-6.039512876725026	0.012783008501377579
ENSG00000162407	14	5.2725367367479245e-37	1.3757754450384445e-35	-9.55296718587343	-0.3815515379666538	-4.081216313343083	-2.117428691620619	-5.198967486280117	-1.203924097401052
ENSG00000221869	14	2.333359568922624e-200	3.0837075117808178e-198	-2.62860359585775	-5.531824600089018	-5.655029237928944	-0.2694629308565786	-1.9286973252596888	-4.919316932678906
ENSG00000240694	14	1.2651861874094158e-21	2.288720209492342e-20	4.731576358091658	4.209302985081054	4.095071726246935	5.506096487542893	3.877916014989143	5.750901679625667
ENSG00000100427	15	2.629996736801892e-125	2.2081143190808107e-123	-7.474172201461303	-0.16961172026671303	-3.6831276624014837	-0.06976403113940541	-0.0021329237712866024	-0.017190676925135446
ENSG00000114993	15	7.082953501197114e-97	4.35754290183567e-95	-0.6401762548401506	-0.1771567374745253	-1.200060173867523	-3.4639897580340286	-4.689226577441381	-0.13472628096068126
ENSG00000155659	15	0	0	-0.011184053864401487	-6.949526046818311	-0.05215748516879961	-0.12460971536670357	-0.015548239756985088	-0.010796986650643244
ENSG00000164124	15	3.721936568755738e-28	8.036792835983437e-27	-1.2073309876257148	-0.9201285253684365	-0.24700595892050112	-8.819617880879356	-0.04846837888879518	-0.06984593189089494
ENSG00000176956	15	9.929324181344467e-21	1.7670978059891428e-19	6.055056973971413	6.052647118829295	5.476462172972605	6.055056973971414	2.8599020563836364	5.331929480494583
ENSG00000026508	16	2.030396921998804e-284	5.084185134682397e-282	-1.1176910650444987	-4.21189075788704	-5.458956119134776	-0.5159092095772224	-0.2695823794670647	-2.189147388318012
ENSG00000092529	16	4.775935237217947e-28	1.0250665209144595e-26	-0.5501303882717349	-0.388186865816088	-0.34208222854599046	-8.066904847434838	-0.1369182201875526	-0.5476967570687374
ENSG00000092820	16	2.7728608330792107e-70	1.3061730254303385e-68	-7.042152338454514	-4.318538202962893	-3.8465175369631215	-0.23709542746070233	-0.46183448868524646	-2.5206623416785803
ENSG00000095970	16	0	0	0	-6.258998026152401	-0.014842581866694174	-0.0310967982256899	-0.010702512641007723	-0.010796986650643244
ENSG00000166922	16	1.1770056940861718e-20	2.0868822697753923e-19	7.894633861185819	7.852955742014006	5.129463148483001	4.475148435207766	3.13764261343717	6.889786248798183
ENSG00000169715	16	4.7921534255644715e-175	5.846017593425711e-173	-5.102960048554723	-0.6426066576562632	-3.7587751792595165	-0.6935232336880416	-3.411490190326962	-1.14830054090723
ENSG00000092096	17	2.157670040811454e-20	3.7833445322483823e-19	3.313260413341429	8.098418033865055	4.429831291236717	4.8680372185149565	0.5744270362589079	6.911346512234017
ENSG00000109062	17	4.132379199937873e-39	1.1299128030788044e-37	-7.133656034274195	-0.5529171699155825	-1.0635609111713078	-1.9072808844789761	-2.323756017099026	-2.3113678693550344
ENSG00000153234	17	0	0	-0.8874308756824928	-6.077346736535483	-0.6968924317194638	-0.6730233568511617	-0.5751136059757987	-2.4767993865796374
ENSG00000175928	17	6.258019703801774e-90	3.601641743240465e-88	-1.6630758446411908	-0.01526718456788575	-1.9943791084593265	-0.08989656897304071	-5.019502757292578	-0.17658951844806153
ENSG00000115956	18	0	0	-0.017678596078787252	-6.293275077853472	-0.035445780448347564	-0.10359027836179413	-0.0387127851761763	-0.021542119067184153
ENSG00000168314	18	6.917969847510196e-25	1.3657010184441594e-23	-0.6047299698865741	-0.775282973230408	-0.2904142616515967	-6.764422318447965	-0.1705751507861607	0.127642800498309
ENSG00000171951	18	2.7839515116537665e-25	5.5651736590804165e-24	8.614993928425429	9.031948171672662	7.012329338295597	8.86961342681236	5.284720649644167	7.494266350152894
ENSG00000095739	19	2.920548079440424e-82	1.5789766188580828e-80	-0.38958067305262495	-0.05276209684878818	-0.14788849053803282	-1.1057959031523257	-4.7996634339852156	-1.9770842023612432
ENSG00000105270	19	6.250590894837829e-20	1.0774720270775372e-18	4.3904313289128885	7.414229646087126	4.369125657153974	4.859423686003947	2.0362750033671846	5.952126080660518
ENSG00000135046	19	3.943119879700707e-234	7.215403851662465e-232	-0.476695917166368	-3.8758134453572173	-5.063476370523297	-0.1429344581442407	-0.019209125896631214	-5.945320276899357
ENSG00000203747	19	0	0	0	-6.0224653721849934	-0.02771712051727852	-0.14122497803717474	-0.006126032203676824	0
ENSG00000002586	20	0	0	-5.037147453518867	-5.315145497802892	-3.6149676718812	-0.02449927533542626	-0.47927924183380005	-6.113073359135549
ENSG00000142871	20	5.075534835340808e-156	5.5725468234475974e-154	-2.204334370826986	-0.018109803391542823	-4.720513757233364	-0.08157777026008999	-0.5908540320964437	-7.8549994587899565
ENSG00000154096	20	2.684424417383003e-23	5.11545924022797e-22	7.7347101140572425	7.83611491468237	6.104430050697211	7.47113440075276	1.21228043808161	3.0470965100790894
ENSG00000082074	21	0	0	-0.013103320084906455	-5.244163422626259	-0.05532900979425377	-0.1177325627867681	-0.023443592834417593	0
ENSG00000102409	21	1.3842818421055242e-19	2.366210147589477e-18	4.330653072326779	6.592297605042088	5.451265949682843	3.765935173986061	3.2086907667356632	6.656669971111403
ENSG00000165478	21	1.1589894048387e-93	6.985969387979664e-92	-6.9363061017862275	0.039877140042516614	-3.4943891215055327	-3.9078998903492908	-2.6651611734623577	0.03130805270269747
ENSG00000184905	21	2.722000712839796e-23	5.180148823248334e-22	5.157381196042611	6.741484149990704	4.710091897698784	6.023983181468672	4.488509859762829	6.751197341219896
ENSG00000006327	22	3.789221223299415e-139	3.511919124685222e-137	0	-1.7246699530796417	-3.6067086875518046	-0.30031837626860086	-0.4312804998986062	-1.8801765693361858
ENSG00000026025	22	1.549961600864579e-19	2.6430826677586793e-18	-7.044950602794397	-5.140601851505744	-8.033773159974142	0.04569621718804462	-0.11893295763605481	-9.131331423405149
ENSG00000102109	22	5.584243643527579e-23	1.0570810281706797e-21	6.374953780616311	6.624005065451546	4.615589304981302	5.507722775532662	1.741126358187949	6.645738409888029
ENSG00000130775	22	0	0	0	-5.515739724605004	-0.1648406651547651	-0.7894120484297426	-0.034026732349531144	-0.16437170201805304
ENSG00000134569	22	6.167777768704376e-74	3.0566906976637997e-72	-5.153073407538125	-0.017321052623707207	-1.617105957826841	-1.8480121872654485	-4.156711820884032	-0.11185536672139107
ENSG00000266964	22	6.737520700668373e-46	2.1228395797050577e-44	-3.33207178310473	-0.009400016845937198	-0.7359173527210549	-0.03765752444562189	-0.009232538313218767	-0.6025451523006192
ENSG00000049089	23	3.749810665926799e-72	1.808143501174764e-70	-1.150811281580794	-0.4269961423556661	-0.462135032475903	-2.1688558974013015	-4.2527598116716705	-0.017670308819618723
ENSG00000104833	23	2.4716113855475935e-19	4.184734199990608e-18	4.514745609809903	7.218029230023696	7.113153842894837	-2.1543933249098988	3.1850646257928528	7.7921661317331194
ENSG00000130203	23	3.384246880522275e-32	7.905622868362479e-31	-8.878261307369609	-8.238889016327684	-1.616200241894838	-1.0295953241818037	-1.0265626813275508	-3.2433481995689077
ENSG00000168961	23	0	0	-0.01488422612211151	-4.3793602218860865	-0.11581688509538697	-0.24258176680773946	-0.11595753444055978	-0.20702674837403498
ENSG00000184205	23	1.0729657451206767e-22	2.0045078638884084e-21	6.355088437160898	6.360787885478549	6.623286415469159	6.4831266638346285	4.344599830660293	4.997789182101883
ENSG00000189171	23	2.081067612867171e-136	1.8919157986275343e-134	-5.879182154854272	-0.48114162479796785	-3.168613372961397	-1.742747313890048	-0.9036653988477154	-2.537974244447913
ENSG00000087077	24	1.4556333899329564e-131	1.2668448399093058e-129	-2.031687748020557	-0.8727623433409866	-3.105748886133364	-0.20523246355001012	-0.9612607733927251	-1.8128428212865522
ENSG00000124145	24	1.676601863633065e-48	5.526590854419077e-47	-6.05955799603895	-0.3891499667547977	-1.191125316445019	-0.05376939477380359	-0.029299023995391534	-0.7366790464136848
ENSG00000136167	24	0	0	-0.06397081528935081	-5.406130575810806	-0.053522673146530336	-0.450685648393003	-0.05061965756332392	-0.023535405003512602
ENSG00000136867	24	1.3651566956755895e-217	1.9882532160589148e-215	-0.377463179294656	-3.173514365810214	-0.37017061690140013	-6.83648585670459	-0.21508170798379234	-0.2431253841863949
ENSG00000137285	24	1.0221773241851007e-20	1.8168788229257705e-19	-2.3021881731138176	7.070217190361421	0.8223855923837657	6.724218458822631	0.7861284060193672	6.410142637921493
ENSG00000055163	25	3.244329400002181e-19	5.467097228598703e-18	2.622383698105109	6.7029958005688535	5.70240310871777	6.014267735190158	2.1676134562593896	6.912318791742919
ENSG00000170775	25	4.8470079910933283e-63	2.0228463466922484e-61	-0.5804880736500609	-0.011017206841381862	-1.9352432900299765	-6.895031380037477	-0.049185787680519365	0
ENSG00000205364	25	1.2480539969410116e-121	9.628905242345294e-120	-3.5119765571266757	-0.13646548379293008	-2.660828859781555	-0.17054257702801165	-2.651573801751825	-0.43808113746535704
ENSG00000128245	26	5.31267057184335e-21	9.538081392694361e-20	6.690370187930941	3.094868881683964	5.584190172292715	7.216895781161208	5.988398028116951	2.670278477751914
ENSG00000139970	26	2.123686389880313e-20	3.7283365120247975e-19	9.035632177919961	8.561482808824938	8.227746749915289	7.556932801858807	3.355125947692379	9.099011973805169
ENSG00000155307	26	0	0	0	-4.971259857545082	-0.03457155565012877	-0.03215419574326661	-0.011384865536624367	0
ENSG00000177807	26	5.096664481759232e-60	2.020685893004181e-58	-5.745112848178888	-0.008286269661377845	-1.501069277939493	-4.096804657424535	-3.698992215815583	0
ENSG00000068078	27	1.015439557257698e-43	3.0576727427719864e-42	-5.768551254783034	-0.011607023205365838	-1.1144605930449372	-0.07321265411497765	-1.6998553594489434	-0.024440926888060283
ENSG00000123560	27	8.746991776779149e-21	1.5586243898872497e-19	0.015956665442959983	0.30611786379761113	-0.8561446780992834	-13.57574745936539	-1.6549667163283732	0.2785720316511505
ENSG00000164985	27	8.729670912388856e-19	1.435467660512977e-17	2.96419791806966	5.248147505497307	2.2217226137588115	2.353308078607701	2.320714543855197	5.29281540768309
ENSG00000100345	28	1.5742943791744174e-20	2.7774911834309544e-19	-0.9113720099960746	-3.8674601562281885	-1.9512802469625323	-0.5606596190785693	-0.6080536487300461	-6.090388029691722
ENSG00000107738	28	0	0	-6.735252731391259	-5.169156335784903	-0.4253776538957138	-0.3877720448942899	-0.3962424308830098	-1.7889768895245772
ENSG00000132481	28	1.4787712108549383e-108	1.0500747011210101e-106	-1.8470948774296692	-0.10529327551092656	-3.1579711480919634	-0.5683371204008211	-1.0527818536891793	-0.2538710167672001
ENSG00000134250	28	3.4755074997605427e-41	9.94106584049741e-40	-6.694250178011217	-2.229758120017436	-3.282885571723862	-0.013524079895012073	-3.478235376459573	-3.124252398477861
ENSG00000186340	28	8.769731130402764e-92	5.259259345556191e-90	-0.4224800203784621	-0.047893573647465784	-2.6928910247703417	-3.787509409514206	-3.724797227035044	-2.8048198794086163
ENSG00000114013	29	0	0	0	-5.122944039130133	-0.01946257235617229	-0.010910933498687523	-0.007013811539765113	-0.018905680817990773
ENSG00000134873	29	7.138928019588473e-29	1.5773052573310522e-27	-7.992006736769213	0.2317701662687491	-0.5778348475526622	0.22935147648605708	-3.206447879431369	0.23574843090141073
ENSG00000148400	29	1.9381674803459774e-105	1.304880398442352e-103	-3.190224158296138	-1.05073819839807	-2.9233728933765524	-1.5985112014261702	-3.4287895062637435	-1.2769413162893637
ENSG00000164949	29	1.565632063489557e-108	1.1062508139696126e-106	-1.671516147859361	-0.6981238271643603	-3.3575857329091416	-0.2565925781754341	-0.05993570605256935	-4.280243294579209
ENSG00000042493	30	0	0	-1.6277621032202398	-5.330447665487012	-1.9370344990480508	-0.1071079044381706	-0.010841569304400583	-0.13150902891491265
ENSG00000116132	30	4.7697129650266796e-107	3.288797736706563e-105	-0.10736556360464761	-0.010962211286757013	-2.524316151330291	-0.03638192046455713	-1.711272877734987	-2.4977558570219043
ENSG00000117632	30	7.635251277924982e-19	1.2584057908755571e-17	5.603421138140915	5.65997252623178	3.816308495463327	-0.43086448370141817	2.101645739034459	6.448153714957629
ENSG00000182492	30	4.955986407868934e-90	2.863837813745484e-88	-0.896415995124861	-0.02347581761097184	-2.482166234150504	0	-3.3247904028971957	-7.146291867525992
ENSG00000187193	30	6.960700210525187e-27	1.4524864635208517e-25	-4.785182644331788	-1.2050905323914285	-4.493212645344315	-0.4812545680736441	-3.7080754722849174	-1.5477074498390033
ENSG00000122862	31	0	0	-0.0417270953089315	-9.39082604162202	-0.018720297378615473	0.022395852289934907	-1.4738382245773132e-4	-3.6918159897775156
ENSG00000124762	31	6.2207597812857444e-18	1.0010023039266261e-16	0.054180109532069476	-4.950251585177375	-2.5055271952624576	-0.2234700032205692	-1.0993139912775651	-6.765222007250308
ENSG00000126860	31	1.7272432935243948e-20	3.043573275120211e-19	0.39189324028328765	-2.24810656005369	0.2584462437603901	-7.042250160860981	0.004676422745151454	0.45067176581202034
ENSG00000155324	31	9.363495570377405e-27	1.9453445746142184e-25	-7.675153006518849	-0.5654570480040864	-2.9584807671003013	-1.7555341185389337	-3.409438915357426	-3.1462079598107504
ENSG00000172037	31	1.120424197399072e-106	7.651585918410024e-105	-3.312826894076702	-0.41126163817605	-3.103589037821952	-0.30064145300037465	-0.16825110125721146	-4.849963265742797
ENSG00000186193	31	1.170590625128342e-52	4.156179102601207e-51	0	-0.15298887878117	-0.316761105220075	-0.2953818182771763	-3.107264453695028	0
ENSG00000078596	32	7.092691209312505e-52	2.4691215031833623e-50	0	-0.004257575688454882	-0.00820867179973527	-1.7719548855317528	-3.3579098191416596	-3.343150875969792
ENSG00000131981	32	1.4274040397490126e-26	2.9569430855352227e-25	-5.571235966866446	-2.1815449020402884	-3.3106674290647597	-0.6095691064776861	-0.874946684572056	-2.989218481129097
ENSG00000270672	32	6.929585163853336e-18	1.110055769289319e-16	-3.8916972810525876	-5.9320550363903495	-2.599974749539683	-3.651879892520698	-3.7079086368205645	-7.785187573298267
ENSG00000010327	33	0	0	0	-5.601150083533005	-0.05444324256787057	-0.0699365814816482	-0.033671220301701776	-0.6536329193941823
ENSG00000092758	33	1.5808989779703572e-51	5.450282877432581e-50	0.018172712582385973	0.026384345748788243	-0.3153715003416079	-0.9572916253441269	-3.1175868931662407	-0.06522182156999562
ENSG00000101608	33	1.3213486444641705e-17	2.1001791984896599e-16	-1.7371465468751204	-3.941372775473194	-2.888778914646635	-1.2295638387038252	-1.2100788684556236	-7.047423546256607
ENSG00000102226	33	4.796012444558122e-20	8.337817980655064e-19	4.462451851322902	7.2917062737893925	5.618760830381591	6.242243582747928	3.9336662624654934	6.758445013143381
ENSG00000128683	33	1.740619220809314e-26	3.5953485005226286e-25	8.567499504986507	8.876527200803867	8.62063576997705	8.885577302055415	6.764378200171676	8.885577302055415
ENSG00000196136	33	5.620748014958457e-105	3.6970016782259227e-103	-1.0719104695737185	-0.05006605352218644	-3.8463993193676065	-0.42585067624689155	-0.4803012344050533	-1.432410554225972
ENSG00000104112	34	3.5163192732305037e-19	5.897582254620339e-18	-2.1624519790013403	6.225535393441286	4.06000080240794	5.866170711303461	0.35439829386197097	6.186497100184606
ENSG00000143570	34	4.0814131745218896e-128	3.5305460751485194e-126	-1.2605217284625534	-2.0564360638220247	-2.92201893324577	-0.5749480204506265	-1.2525535773910588	-1.80317242374764
ENSG00000150625	34	5.2517308886792793e-20	9.107892463440956e-19	-2.935066922237767	7.655072744006308	1.2130387441340575	7.341024830483451	-0.799673606222151	7.637517026907077
ENSG00000166091	34	4.866737289605753e-51	1.6697822436188222e-49	-1.137289916259841	-0.0018603901325560171	-0.5370713399407004	-4.255449758064083	-2.4133155059568003	0
ENSG00000202502	34	0	0	-0.42917826533747283	-4.687735292967841	-1.0567576640740677	-0.046040693362508114	-0.09384422144590826	-0.6679718759781575
ENSG00000105696	35	8.08544239385436e-20	1.3904038468371482e-18	4.021699827657935	7.4633363983849295	4.6279932753609305	6.021655688637667	3.365637649087577	7.47585980874367
ENSG00000133048	35	2.818911490070983e-99	1.7646633200781958e-97	-2.9124817103322265	-0.9915300532494172	-4.437641457766785	-0.5116481273136971	-0.33207103849686603	-0.36821794586130385
ENSG00000013297	36	3.164074334554267e-19	5.338159926370346e-18	-0.06092559292602606	-0.4679746924461316	-0.15150219589793257	-4.862352976106623	0.05753102384857217	-1.9955352880278872
ENSG00000148908	36	0	0	-0.11923049414228845	-4.34122499399598	-0.09133999595284592	-0.009785066289620137	-0.0024872487729087436	-0.45795038959481554
ENSG00000256618	36	3.057633786576011e-17	4.806344387202587e-16	-1.693602943065514	-2.2154981773811713	-1.7379392110204464	-1.3291525269260198	-1.2497469036436364	-2.6534638290292776
ENSG00000109099	37	3.4866436728430516e-19	5.854690016763398e-18	-7.258571189263127	-0.895815633160737	-4.218639046432758	-8.124770117371034	-2.3024497866478923	-4.037439679399749
ENSG00000123104	37	7.577880387361191e-262	1.6639859502894116e-259	-5.514152796562916	-3.717024241449998	-2.525852358969267	-0.773354254541894	-2.9363782569437484	-2.1093675513226278
ENSG00000130303	37	8.614153970570477e-228	1.397157041158594e-225	-1.8509809649517004	-3.171174210161094	-2.722151339542017	0	-0.13632539685188516	-2.980281390275596
