gene	Top	p.value	FDR	logFC.Astocyte	logFC.Immune.cell	logFC.Neoplastic	logFC.Oligodendrocyte	logFC.OPC	logFC.Vascular
ENSG00000038427	1	8.293843673739076e-308	2.518681505431512e-305	-2.6362798997303942	-2.043470816818572	-5.885352003922445	-0.1823828604304459	-10.42723347005362	-2.9546692225269116
ENSG00000079215	1	0	0	-11.75218180109287	-6.284687094249065	-7.433301048369693	-3.4807132904453084	-4.454819754817516	-4.017902094435547
ENSG00000142089	1	0	0	-5.954875341237332	-4.38579590647334	-4.8060361562289735	-0.7607423937637389	-2.838560141013475	-9.755706231487764
ENSG00000162511	1	0	0	-0.0586842979901943	-10.019464131345599	-0.08928779772627173	-0.26759550235389995	-0.14445358307110373	-0.3608807252936748
ENSG00000174021	1	0	0	-3.4577291554505742	-4.516287627132032	-6.281802432646529	-0.661594337826246	-1.4005108236761572	-5.0745070834763295
ENSG00000250722	1	9.869137046135714e-51	3.377990241234871e-49	-4.481772662714521	-1.1455793776267589	-3.0904588793559964	-10.174093546247544	-2.3429624007856384	-5.350970999717379
ENSG00000010278	2	0	0	-2.910062393340371	-2.683655767114954	-7.5278419930458975	-9.30467875864945	-5.554029270799887	-3.769962450820439
ENSG00000011600	2	0	0	-0.01108331587691589	-8.520892823675265	-0.05178230751728004	-0.10361214524577929	-0.027823130517976857	-0.018905680817990773
ENSG00000160307	2	1.2130716625895315e-257	2.6233593697181886e-255	-9.134302709643038	-1.61684493788052	-5.814393013837968	-9.321298107441518	-8.612705827487694	-0.019200618528689983
ENSG00000163453	2	8.706736701938448e-156	9.486355186775925e-154	-6.8115023401544486	-0.26907300177157784	-4.72927970512493	-0.38860943944954296	-1.1297751677144139	-10.819918750877575
ENSG00000171885	2	1.6470251705657086e-197	2.156696354081153e-195	-10.566299378481752	-0.02318772873786457	-5.632349653022112	-0.13771645102977026	-0.292940819652058	0
ENSG00000125148	3	6.645e-321	2.25883e-318	-6.87717704628789	-3.457703641417254	-7.453860896552156	-3.829641200189705	-5.667859639889652	-5.141427406409474
ENSG00000128016	3	0	0	-3.5174857239157844	-8.224158136151697	-6.193478239256136	-2.213843779216781	-2.2452752401512464	-8.423767808631554
ENSG00000173372	3	0	0	0	-8.607473966021294	-0.03536786072120993	-0.09286228029296567	-0.013028892827839868	-0.018905680817990773
ENSG00000184221	3	4.001918784595624e-229	6.6417891642481235e-227	-1.2075674961375549	-0.03279479976650908	-2.447810118608297	-4.214280114786486	-8.341140587261542	0
ENSG00000100146	4	6.894801865296899e-181	8.483578191671029e-179	0	-0.0056344746211827446	-0.02529424348561346	-4.389246127502838	-6.555632127109393	0
ENSG00000129538	4	9.48647879412646e-106	6.417085868652454e-104	0	-2.4225148792140327	-0.04879169462855149	-9.713452024446786	-0.03320017242162241	-2.322222543764277
ENSG00000152661	4	2.867348956137097e-53	1.0231417912736243e-51	-8.875719658305863	0.03825163865771716	-3.0845850157280084	-0.017737421986226992	-0.03239495145114868	-1.392116219839617
ENSG00000163191	4	0	0	-0.035258102643020504	-7.579047619295528	-2.8548417966715616	-0.2891940070524083	-0.11463360421372519	-5.472434133479367
ENSG00000166448	4	3.274043001693344e-26	6.675773680452723e-25	7.633106374374265	7.182281255970111	7.638034348963734	7.933434533007195	4.960140593563719	7.9850212475868325
ENSG00000137267	5	1.114495405985292e-42	3.279833593737725e-41	1.3261374881990466	8.552194217397053	5.140108278300345	9.042116097535317	5.694087025007935	6.377533506857175
ENSG00000166925	5	1.5240689525539813e-288	4.028340029592949e-286	-5.900024167435951	-1.1185270491586736	-5.924482502841812	-6.9512400028452825	-5.81640016606355	-0.6645439119327995
ENSG00000170989	5	2.963901077600548e-47	9.57098644357305e-46	-7.7334192291652215	-0.3370149987084624	-2.150857044816392	-0.0453966685586458	0.03928915596823124	-2.303292927993934
ENSG00000173369	5	0	0	0	-9.056005024759303	-0.05956095934011675	-0.13938757893704343	-0.014133799987171418	-0.06285001588968327
ENSG00000185650	5	4.042990416059082e-69	1.8614710389810014e-67	-7.5334473014678105	-7.056503650150465	-7.666835598381223	-0.24306867335033178	-5.519445531328427	-8.052985074628918
